t,Vel,Motor,Marcha
1730932961.06,0.02,194.2,2.43
1730932962.07,0.0,111.62,1.52
1730932963.07,0.01,96.0,1.45
1730932964.07,0.0,85.55,1.57
1730932965.07,0.0,71.89,1.59
1730932966.14,0.0,61.47,1.49
1730932967.06,0.0,61.64,1.52
1730932968.07,0.0,74.62,1.47
1730932969.07,0.0,92.07,1.47
1730932970.07,0.0,103.87,1.45
1730932971.07,0.0,117.04,1.57
1730932972.14,0.0,81.88,1.57
1730933952.0,104.25,3399.34,47.28
1730933953.0,106.57,3461.8,47.23
1730933954.0,108.69,3511.64,47.23
1730933955.0,110.6,3562.38,47.01
1730933956.0,112.34,3606.07,47.14
1730933957.0,113.93,3645.61,47.18
1730933958.0,115.36,3681.99,47.21
1730933959.0,116.66,3713.72,47.09
1730933960.0,117.83,3742.96,47.04
1730933961.0,118.89,3770.73,47.14
1730933962.0,119.86,3792.66,47.16
1730933963.0,120.72,3812.54,47.18
1730933964.0,121.5,3833.32,47.21
1730933965.0,122.21,3849.18,47.14
1730933966.01,122.84,3865.53,47.14
1730933967.0,123.41,3878.68,47.09
1730933968.0,123.93,3892.94,47.21
1730933969.0,124.4,3901.01,47.04
1730933970.0,124.82,3911.73,47.23
1730933971.01,125.2,3923.24,47.26
1730933972.01,125.54,3930.78,47.14
1730933973.01,125.85,3937.95,47.09
1730933974.01,126.12,3945.07,47.28
1730933975.01,126.37,3947.25,47.11
1730933988.0,128.33,3995.86,47.18
1730933989.0,128.36,3995.95,47.33
1730933990.0,128.39,3996.35,47.14
1730933991.0,128.41,3997.13,47.09
1730933992.0,128.43,3995.02,47.14
1730933993.0,128.45,3997.95,47.18
1730933994.0,128.62,4072.97,54.04
1730933995.0,131.48,4279.23,94.68
1730933996.0,133.82,3993.34,37.8
1730933997.0,129.13,2398.95,11.24
1730933998.01,123.81,222.09,1.45
1730933999.01,120.27,3028.45,14.8
1730934000.0,116.03,3391.61,30.92
1730934001.01,113.97,2995.81,19.37
1730934002.0,109.91,436.94,5.39
1730934003.01,107.27,3303.44,34.46
1730934004.01,107.64,3349.21,35.39
1730934005.0,106.05,2897.14,20.21
1730934006.01,102.66,783.66,1.45
1730934007.01,99.04,36.83,1.45
1730934008.0,95.62,5.7,1.45
1730934009.0,92.35,4.39,1.45
1730934010.0,89.25,4.34,1.45
1730934123.01,0.0,4.3,1.45
1730934124.01,0.0,4.3,1.45
1730934125.01,0.0,4.3,1.45
1730934126.0,0.0,4.3,1.45
1730934127.0,0.0,4.3,1.45
1730934128.0,0.0,4.3,1.45
1730934129.01,0.0,4.3,1.45
1730934130.0,19.47,2018.94,35.83
1730934131.01,32.26,2074.07,36.31
1730934132.01,40.8,2219.99,35.92
1730934133.01,46.83,2271.35,25.77
1730934134.01,47.64,1519.99,2.96
1730934135.01,46.4,68.94,1.45
1730934136.0,45.63,2224.79,25.34
1730934137.01,52.67,2749.25,50.24
1730934138.01,62.06,3081.3,52.12
1730934139.01,66.82,2215.94,25.41
1730934140.0,65.98,563.34,1.45
1730934141.0,64.12,27.65,1.45
1730934142.0,62.31,5.27,1.45
1730934143.0,60.56,4.38,1.45
1730934144.01,58.88,4.34,1.45
1730934145.0,57.28,4.34,1.45
1730934146.01,56.35,1899.94,21.97
1730934147.0,58.84,1965.14,21.51
1730934148.0,58.26,626.85,1.45
1730934149.0,56.71,1590.02,11.43
1730934150.0,57.81,2068.48,29.96
1730934151.01,61.57,2132.37,28.61
1730934152.0,62.54,1947.05,14.39
1730934153.01,61.08,232.17,1.45
1730934154.0,59.4,13.84,1.45
1730934155.0,58.83,1978.85,23.32
1730934156.01,59.75,1843.17,11.96
1730934157.0,58.27,361.96,6.18
1730934158.01,59.19,2134.5,32.36
1730934159.0,61.66,1973.05,16.96
1730934160.01,60.28,190.63,1.45
1730934161.0,58.64,12.11,1.45
1730934162.0,57.02,4.65,1.45
1730934163.01,55.46,4.35,1.45
1730934164.01,53.97,4.34,1.45
1730934165.0,52.51,4.34,1.45
1730934166.0,51.1,4.34,1.45
1730934167.01,49.72,4.34,1.45
1730934168.01,48.39,4.34,1.45
1730934169.0,47.12,4.34,1.45
1730934170.0,45.86,4.34,1.45
1730934171.01,44.63,4.34,1.45
1730934172.01,43.74,1528.73,17.9
1730934173.0,46.98,1898.62,28.51
1730934174.0,50.82,1928.6,28.56
1730934175.01,54.16,1991.33,28.8
1730934176.0,57.12,2038.97,28.95
1730934177.0,59.81,2092.41,28.9
1730934178.01,62.33,2148.76,28.95
1730934179.01,64.6,2202.65,28.87
1730934180.0,66.69,2252.74,28.95
1730934181.0,68.61,2299.94,28.99
1730934182.0,70.37,2340.51,28.95
1730934183.01,72.01,2385.4,28.95
1730934184.01,73.47,2422.47,28.87
1730934185.0,74.83,2457.27,28.85
1730934186.0,76.08,2489.72,28.9
1730934187.0,77.26,2521.75,28.8
1730934188.01,78.32,2548.35,28.99
1730934189.0,79.31,2572.2,28.9
1730934190.0,80.21,2596.73,28.87
1730934191.01,81.07,2617.87,28.95
1730934192.0,81.85,2636.89,28.9
1730934193.0,82.57,2654.95,29.02
1730934194.01,83.24,2670.91,28.87
1730934195.0,83.85,2687.3,28.97
1730934196.0,84.41,2699.51,28.85
1730934197.0,84.92,2710.76,28.75
1730934198.01,85.4,2723.62,28.85
1730934199.0,85.84,2734.63,28.99
1730934200.0,86.24,2744.65,28.9
1730934201.01,86.61,2751.85,28.87
1730934202.0,86.96,2761.31,28.95
1730934203.0,87.27,2768.96,28.92
1730934204.01,87.55,2768.63,28.85
1730934205.0,87.02,2508.3,18.5
1730934206.0,85.29,2442.29,17.95
1730934207.0,83.69,2410.42,17.76
1730934208.0,82.18,2388.15,17.81
1730934209.01,80.77,2364.63,17.97
1730934210.0,79.48,2339.25,17.85
1730934211.01,78.87,2518.6,26.15
1730934212.0,79.54,2563.37,27.84
1730934213.0,80.28,2589.88,28.42
1730934214.0,81.05,2611.86,28.46
1730934215.0,81.75,2628.27,28.71
1730934216.0,82.41,2645.36,28.54
1730934217.01,83.01,2658.93,28.56
1730934218.01,83.56,2673.14,28.63
1730934219.0,84.07,2685.0,28.42
1730934220.0,84.55,2696.3,28.42
1730934221.0,84.98,2708.61,28.46
1730934222.0,85.37,2718.53,28.46
1730934223.0,85.73,2723.76,28.51
1730934224.01,86.07,2733.69,28.56
1730934225.0,86.38,2740.46,28.56
1730934226.0,86.66,2746.67,28.44
1730934227.01,86.92,2753.89,28.51
1730934228.0,87.16,2760.03,28.56
1730934229.0,87.39,2767.12,28.68
1730934230.01,87.59,2770.39,28.51
1730934231.01,87.78,2775.05,28.56
1730934232.0,87.95,2777.93,28.73
1730934233.0,88.11,2781.77,28.58
1730934234.01,88.26,2786.89,28.46
1730934235.0,88.4,2788.25,28.61
1730934236.0,88.52,2792.21,28.63
1730934237.01,88.64,2795.5,28.63
1730934238.01,88.74,2796.91,28.46
1730934239.0,88.84,2799.69,28.58
1730934240.01,88.93,2801.59,28.56
1730934241.01,89.01,2803.7,28.46
1730934242.0,89.08,2804.95,28.49
1730934243.0,89.15,2807.89,28.54
1730934244.01,89.21,2807.1,28.63
1730934245.0,89.27,2809.64,28.63
1730934246.0,89.32,2809.55,28.56
1730934247.01,89.36,2813.57,28.63
1730934248.0,89.42,2812.83,28.68
1730934249.0,89.46,2815.22,28.49
1730934250.01,89.5,2815.37,28.56
1730934251.0,89.54,2817.45,28.63
1730934252.0,89.57,2816.94,28.51
1730934253.01,89.6,2815.78,28.58
1730934254.01,89.63,2817.78,28.56
1730934255.0,89.65,2817.76,28.61
1730934256.0,89.68,2818.81,28.56
1730934257.01,89.69,2817.82,28.54
